Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of viral genome replication (GO:0045071),1/54,0.2374116024468537,0.3262345802746753,0,0,3.7825424051839143,5.43914439332398,IFITM3
GO_Biological_Process_2021,regulation of proteolysis (GO:0030162),1/54,0.2374116024468537,0.3262345802746753,0,0,3.7825424051839143,5.43914439332398,OGT
GO_Biological_Process_2021,striated muscle contraction (GO:0006941),1/54,0.2374116024468537,0.3262345802746753,0,0,3.7825424051839143,5.43914439332398,ATP1B1
GO_Biological_Process_2021,pyruvate metabolic process (GO:0006090),1/55,0.2412348616553018,0.3296542784445895,0,0,3.7123082678638233,5.278844037828421,LDHA
GO_Biological_Process_2021,negative regulation of cytokine-mediated signaling pathway (GO:0001960),1/55,0.2412348616553018,0.3296542784445895,0,0,3.7123082678638233,5.278844037828421,APOA1
GO_Biological_Process_2021,negative regulation of protein modification by small protein conjugation or removal (GO:1903321),1/55,0.2412348616553018,0.3296542784445895,0,0,3.7123082678638233,5.278844037828421,OGT
GO_Biological_Process_2021,triglyceride metabolic process (GO:0006641),1/55,0.2412348616553018,0.3296542784445895,0,0,3.7123082678638233,5.278844037828421,FABP2
GO_Biological_Process_2021,regulation of GTPase activity (GO:0043087),2/189,0.2438580650566493,0.3320969462897486,0,0,2.1513696387645966,3.035945977250269,PLXNB2;AGRN
GO_Biological_Process_2021,regulation of ATP metabolic process (GO:1903578),1/56,0.2450391435680432,0.3320969462897486,0,0,3.644628099173554,5.125576482532065,OGT
GO_Biological_Process_2021,blood vessel morphogenesis (GO:0048514),1/56,0.2450391435680432,0.3320969462897486,0,0,3.644628099173554,5.125576482532065,COL4A1
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",1/56,0.2450391435680432,0.3320969462897486,0,0,3.644628099173554,5.125576482532065,BTG2
GO_Biological_Process_2021,positive regulation of interleukin-1 beta production (GO:0032731),1/56,0.2450391435680432,0.3320969462897486,0,0,3.644628099173554,5.125576482532065,APP
GO_Biological_Process_2021,sensory organ development (GO:0007423),1/56,0.2450391435680432,0.3320969462897486,0,0,3.644628099173554,5.125576482532065,PAX8
GO_Biological_Process_2021,renal system development (GO:0072001),1/57,0.2488245414130006,0.3358451460601702,0,0,3.5793650793650795,4.978922896997587,PAX8
GO_Biological_Process_2021,ribosomal large subunit biogenesis (GO:0042273),1/57,0.2488245414130006,0.3358451460601702,0,0,3.5793650793650795,4.978922896997587,RPL23A
GO_Biological_Process_2021,positive regulation of proteolysis (GO:0045862),1/57,0.2488245414130006,0.3358451460601702,0,0,3.5793650793650795,4.978922896997587,OGT
GO_Biological_Process_2021,regulation of neurotransmitter receptor activity (GO:0099601),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,APP
GO_Biological_Process_2021,regulation of phagocytosis (GO:0050764),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,APOA1
GO_Biological_Process_2021,regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,APOA1
GO_Biological_Process_2021,positive regulation of mitochondrion organization (GO:0010822),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,CHCHD10
GO_Biological_Process_2021,positive regulation of mitotic cell cycle phase transition (GO:1901992),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,ANKRD17
GO_Biological_Process_2021,positive regulation of protein binding (GO:0032092),1/58,0.2525911479606718,0.3381572549934196,0,0,3.5163919900762006,4.8384959983786695,APP
GO_Biological_Process_2021,regulation of programmed cell death (GO:0043067),2/194,0.2531112789294684,0.3383950522088156,0,0,2.094812925170068,2.878118046278374,PAX8;ALB
GO_Biological_Process_2021,protein localization to membrane (GO:0072657),2/195,0.2549632773500623,0.3404104297592724,0,0,2.0838532304113357,2.8478683319899094,ATP1B1;AGRN
GO_Biological_Process_2021,response to reactive oxygen species (GO:0000302),1/59,0.256339055642632,0.3417854075235094,0,0,3.4555903866248694,4.703937185372145,FOS
GO_Biological_Process_2021,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),1/60,0.2600683562676618,0.3453595913877014,0,0,3.396849854476973,4.574913980988086,PSAP
GO_Biological_Process_2021,cellular protein catabolic process (GO:0044257),1/60,0.2600683562676618,0.3453595913877014,0,0,3.396849854476973,4.574913980988086,CTSL
GO_Biological_Process_2021,response to organic cyclic compound (GO:0014070),1/60,0.2600683562676618,0.3453595913877014,0,0,3.396849854476973,4.574913980988086,SOCS2
GO_Biological_Process_2021,negative regulation of response to stimulus (GO:0048585),1/61,0.2637791413086752,0.3493482461299881,0,0,3.34006734006734,4.451117734093463,APOA1
GO_Biological_Process_2021,response to light stimulus (GO:0009416),1/61,0.2637791413086752,0.3493482461299881,0,0,3.34006734006734,4.451117734093463,CIRBP
GO_Biological_Process_2021,regulation of macromolecule metabolic process (GO:0060255),2/200,0.2642273190435063,0.3494733483466991,0,0,2.0307153164296023,2.702771390555414,APP;ATP1B1
GO_Biological_Process_2021,positive regulation of interleukin-1 production (GO:0032732),1/62,0.2674715018007107,0.3532912349987997,0,0,3.285146547441629,4.332261561529935,APP
GO_Biological_Process_2021,actin cytoskeleton reorganization (GO:0031532),1/63,0.2711455282609312,0.3567134246628496,0,0,3.231997393287716,4.218078497375417,MYH9
GO_Biological_Process_2021,anterior/posterior pattern specification (GO:0009952),1/63,0.2711455282609312,0.3567134246628496,0,0,3.231997393287716,4.218078497375417,CELSR2
GO_Biological_Process_2021,cellular response to reactive oxygen species (GO:0034614),1/63,0.2711455282609312,0.3567134246628496,0,0,3.231997393287716,4.218078497375417,FOS
GO_Biological_Process_2021,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),1/64,0.2748013108427819,0.3605626761124416,0,0,3.180535513868848,4.108319823136149,S100A9
GO_Biological_Process_2021,plasma membrane organization (GO:0007009),1/64,0.2748013108427819,0.3605626761124416,0,0,3.180535513868848,4.108319823136149,MYH9
GO_Biological_Process_2021,regulation of protein kinase B signaling (GO:0051896),2/207,0.2771996724711015,0.3624475256168945,0,0,1.9606769537083129,2.515582241975174,DAG1;IGF1R
GO_Biological_Process_2021,regulation of cellular catabolic process (GO:0031329),1/65,0.2784389392137884,0.3624475256168945,0,0,3.1306818181818183,4.00275356439037,PSAP
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),1/65,0.2784389392137884,0.3624475256168945,0,0,3.1306818181818183,4.00275356439037,IFITM3
GO_Biological_Process_2021,regulation of RNA metabolic process (GO:0051252),1/65,0.2784389392137884,0.3624475256168945,0,0,3.1306818181818183,4.00275356439037,MBNL2
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),1/65,0.2784389392137884,0.3624475256168945,0,0,3.1306818181818183,4.00275356439037,IFITM3
GO_Biological_Process_2021,mitotic G1 DNA damage checkpoint signaling (GO:0031571),1/65,0.2784389392137884,0.3624475256168945,0,0,3.1306818181818183,4.00275356439037,BTG2
GO_Biological_Process_2021,protein transport (GO:0015031),3/369,0.2809389933414449,0.3652206913438784,0,0,1.6506675680243366,2.095716825168888,MYO6;TXNIP;MYH9
GO_Biological_Process_2021,cellular response to nutrient levels (GO:0031669),1/66,0.2820585025763683,0.3661942188507909,0,0,3.0823620823620823,3.9011631304837175,ALB
GO_Biological_Process_2021,regulation of viral genome replication (GO:0045069),1/67,0.2856600898087258,0.3703834235315238,0,0,3.0355065809611266,3.8033460819667058,IFITM3
GO_Biological_Process_2021,cellular response to calcium ion (GO:0071277),1/69,0.2928096888806698,0.3776709825249371,0,0,2.9459298871063577,3.6182865561027495,IQGAP1
GO_Biological_Process_2021,peptidyl-tyrosine phosphorylation (GO:0018108),1/69,0.2928096888806698,0.3776709825249371,0,0,2.9459298871063577,3.6182865561027495,IGF1R
GO_Biological_Process_2021,RNA 3'-end processing (GO:0031123),1/69,0.2928096888806698,0.3776709825249371,0,0,2.9459298871063577,3.6182865561027495,SRSF5
GO_Biological_Process_2021,synapse assembly (GO:0007416),1/69,0.2928096888806698,0.3776709825249371,0,0,2.9459298871063577,3.6182865561027495,PLXNB2
GO_Biological_Process_2021,carbohydrate homeostasis (GO:0033500),1/70,0.2963578762035246,0.3797685884423896,0,0,2.9030888596105986,3.530700422312052,IGF1R
GO_Biological_Process_2021,negative regulation of viral process (GO:0048525),1/70,0.2963578762035246,0.3797685884423896,0,0,2.9030888596105986,3.530700422312052,IFITM3
GO_Biological_Process_2021,positive regulation of cell-substrate adhesion (GO:0010811),1/70,0.2963578762035246,0.3797685884423896,0,0,2.9030888596105986,3.530700422312052,APOA1
GO_Biological_Process_2021,kidney development (GO:0001822),1/70,0.2963578762035246,0.3797685884423896,0,0,2.9030888596105986,3.530700422312052,PAX8
GO_Biological_Process_2021,wound healing (GO:0042060),1/70,0.2963578762035246,0.3797685884423896,0,0,2.9030888596105986,3.530700422312052,MYH9
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),3/381,0.2972936218442585,0.3804742207022377,0,0,1.5972835869743087,1.9375609004133785,SOCS2;ALB;IGF1R
GO_Biological_Process_2021,negative regulation of neuron apoptotic process (GO:0043524),1/71,0.2998884383134025,0.3818167230072701,0,0,2.8614718614718613,3.446198601550195,GRN
GO_Biological_Process_2021,regulation of G1/S transition of mitotic cell cycle (GO:2000045),1/71,0.2998884383134025,0.3818167230072701,0,0,2.8614718614718613,3.446198601550195,ANKRD17
GO_Biological_Process_2021,gland development (GO:0048732),1/71,0.2998884383134025,0.3818167230072701,0,0,2.8614718614718613,3.446198601550195,PAX8
GO_Biological_Process_2021,myeloid leukocyte differentiation (GO:0002573),1/71,0.2998884383134025,0.3818167230072701,0,0,2.8614718614718613,3.446198601550195,MYH9
GO_Biological_Process_2021,positive regulation of neurogenesis (GO:0050769),1/72,0.3034014618596549,0.3857923350287504,0,0,2.821027173139849,3.3646345783285243,PLXNB2
