group,names,scores,logfoldchanges,pvals,pvals_adj
19.0,6820431F20Rik,21.800388,0.5078257,2.30056044283207e-105,3.1189749768958014e-103
19.0,Creb3l2,21.79818,0.70044017,2.414312620143168e-105,3.2652106045594793e-103
19.0,Zbtb20,21.557474,0.723662,4.505412496388661e-103,5.934088430516657e-101
19.0,Tmem259,21.508205,0.6803783,1.3045189626539598e-102,1.702013564215578e-100
19.0,Ogt,21.360361,0.49274898,3.1239018848322936e-101,3.954802728629011e-99
19.0,Ctsl,21.081224,0.47169068,1.1828403746421411e-98,1.4640289904889894e-96
18.5,Ldha,21.067677,0.9151387,1.5746952583429836e-98,2.182921301877961e-94
17.5,Fosb,21.021763,1.8073217,4.1473363936705314e-98,4.599396060580619e-94
17.5,Eef2,20.996517,0.5439338,7.057425977512574e-98,6.522237840884537e-94
19.0,Slc6a6,20.85056,0.7813962,1.5064998898860262e-96,1.8199437667577375e-94
19.0,Lpp,20.752733,0.6480547,1.158185965088733e-95,1.3811056293369945e-93
18.0,Rpl23a,20.7294,0.49477175,1.8811965772454617e-95,8.024026939096989e-92
9.0,Cadm1,20.712896,2.3350403,2.650272759412484e-95,4.898587483647408e-91
19.0,Khdc4,20.669495,0.6660662,6.519650934245377e-95,7.659208565760724e-93
